Unnamed: 0;PP 579s;HP501M;PP505;HP 640J;PP-Rezyklat;PP-C2400;PP-Replano;CR5P;Drehzahl_mean;T_Extruder;V;intervall;versuchspunkt;steigung_m;K_potenzgesetz;eta_1;eta_2;eta_3;eta_4;eta_5;eta_6;Drehmoment_mean;drehmoment-main-drive-chart_std;Drehzahl_mean.1;drehzahl-chart_std;Druck_mean;druck-1-chart_std;temperatur-zone-10-chart_mean;temperatur-zone-10-chart_std;voltage_mean_mean;voltage_mean_std;torque_mean_mean;torque_mean_std;T_gemessen;augmentation_id
1;0;0;1;0;0;0;0;0;300;230;15;1;1;-0.868334239;47984.57641;1578.9196;864.898938;473.7734415;259.5231235;142.3127591;77.9559353;56.09189639;1.19501043;300.2006978;1.12927281;35.59339609;0.52824003;220.1620691;0.90627943;3.14367423;0.04700434;62.87348467;0.94008685;271;0
5;0;0.45;0.55;0;0;0;0;0;300;230;15;5;5;-0.86066032;43095.23071;1461.474747;804.834794;443.2228793;244.083037;134.5585723;74.10146568;50.0618645;1.0064626;300.4035567;1.33397192;32.87122865;0.56867509;220.1355935;0.5833211;2.78066972;0.04400108;55.61339434;0.8800215;264;0
10;0;1;0;0;0;0;0;0;300;230;15;10;10;-0.857312857;38533.56948;1324.089603;730.8705959;403.42574;222.6828233;123.045687;67.91872269;42.42661292;0.95613464;300.2560223;1.0657256;27.67592116;0.43795565;220.0741944;0.43379135;2.31618627;0.04141528;46.32372548;0.82830557;256.7;0
11;1;0;0;0;0;0;0;0;300;230;15;11;11;-0.8248252;23488.84492;917.0958935;517.7470374;292.2944009;165.0149795;93.25357803;52.64636348;34.88741945;5.51583119;300.1365475;1.03600437;12.17809609;1.94966785;220.001612;0.14985513;1.85518445;0.33562639;37.10368901;6.71252773;248.4;0
15;0;0;0.998;0;0;0;0;0.002;300;230;15;15;15;-0.721909528;9749.745059;570.5347218;345.9120236;209.724533;127.154816;77.16153254;46.78260734;52.53839275;1.60608365;300.0094528;1.00638447;25.96054486;1.23257672;220.4696421;0.33947597;2.92722617;0.0816852;58.54452343;1.63370408;256.2;0
17;1;0;0;0;0;0;0;0;200;210;10;17;17;-0.824983187;21605.60669;843.0431022;475.8883728;268.6336473;151.64068;85.68610128;48.36884283;37.07779661;1.55990813;200.0269046;1.17665458;11.94410117;0.36440802;199.9779642;0.20432292;2.02013184;0.08447878;40.40263682;1.68957558;226.6;0
20;1;0;0;0;0;0;0;0;400;210;20;20;20;-0.825172828;21540.74401;839.8857045;474.0437408;267.557201;151.0131864;85.3203335;48.15604057;42.75475418;1.48654904;400.5551257;1.17291067;16.4281885;0.52027711;200.2999998;0.36878118;2.31910698;0.07591058;46.38213965;1.51821165;237.8;0
21;1;0;0;0;0;0;0;0;200;250;10;21;21;-0.523441589;1719.657344;219.5981481;152.7766751;106.2882937;73.9458518;51.47791587;35.81371198;32.20344836;1.08201996;200.2919177;1.3450176;11.28584465;0.35791566;239.7551735;0.27091252;1.73783841;0.04078152;34.75676828;0.81563045;256.1;0
22;1;0;0;0;0;0;0;0;400;250;10;22;22;-0.477888436;1205.897621;184.1969343;132.2585156;94.96528812;68.18771486;48.98937312;35.17573075;24.63366674;0.76069098;400.2116465;0.71053033;9.59068769;0.1709625;240.2733322;0.229124;1.22186105;0.02858441;24.43722111;0.57168818;268;0
23;1;0;0;0;0;0;0;0;200;250;20;23;23;-0.48900544;1342.9599;196.35951;139.9093162;99.68764321;71.02905278;50.63970155;36.08160369;58.58327878;1.71107819;200.0346957;1.79132234;15.95763608;0.24103302;239.6999987;0.2302161;3.32934673;0.0704516;66.58693455;1.40903198;248.8;0
40;0;0;1;0;0;0;0;0;400;250;20;40;40;-0.719265132;14612.44104;864.0265416;524.8155615;318.7765194;193.6270125;117.7141334;71.50036029;56.79355919;1.10857426;400.2869754;1.05510357;34.95186453;0.5941419;240.2966094;0.83024042;3.15368002;0.06484494;63.07360034;1.29689877;290.8;0
41;0;0;0;1;0;0;0;0;300;230;15;41;41;-0.765265404;16673.50704;822.7778228;484.0773206;284.8045314;167.5633575;98.67764013;58.05650846;49.68655752;1.05349405;299.9132665;1.11897879;36.96659676;0.50580059;219.9622955;0.54624889;2.75609789;0.04108645;55.12195777;0.82172892;262.6;0
50;0;0;0;1;0;0;0;0;200;250;20;50;50;-0.740024663;17064.14967;929.9093342;556.7637943;333.3506948;199.5867671;119.6068967;71.61213163;81.09571375;2.09703189;200.141725;1.73437914;35.99420779;0.46708943;239.8535701;0.10262732;4.68811746;0.09653199;93.76234918;1.93063989;271.5;0
51;0;0;0;1;0;0;0;0;400;250;20;51;51;-0.732579655;15718.08271;881.9996229;530.8110427;319.4563306;192.2573928;115.8096458;69.69735277;51.49275865;2.74975559;400.1003528;1.19120133;33.50544795;1.22690601;239.9465514;0.16671697;2.83611321;0.16069216;56.72226425;3.21384317;286;0
64;0.33;0;0.33;0.33;0;0;0;0;300;230;15;64;64;-0.764342035;16409.39927;812.6901916;478.4484353;281.6730258;165.8270517;97.7175456;57.52844968;52.3155934;1.0833128;300.1614256;1.15942584;35.22723925;0.55089213;220.1152535;0.44829733;2.91725092;0.04336406;58.34501844;0.86728123;255.4;0
